30X,TSUEN WAN (ALLWAY GARDENS)
31,SHEK LEI (CIRCULAR)
31A,SHEK LEI (TAI LOONG STREET)
31A,KWAI CHUNG ESTATE
31B,OLYMPIC STATION
31B,SHEK LEI (TAI LOONG STREET)
31M,KWAI FONG STATION
31M,SHEK LEI (LEI PUI ST)
31P,KWAI FONG STATION
32,OLYMPIC STATION
32,TSUEN WAN (SHEK WAI KOK)
32H,LAI CHI KOK
32H,CHEUNG SHAN
32M,CHEUNG SHAN (CIRCULAR)
32P,YUEN YUEN INSTITUTE
32P,TSUEN WAN (CASTLE PEAK ROAD)
33,YAU TONG
33,TSUEN WAN WEST STATION
33A,MONG KOK (PARK AVENUE)
33A,TSUEN WAN (NINA TOWER)
33B,YAU TONG
33B,TSUEN WAN WEST STATION
34,TSUEN WAN (BAYVIEW GARDEN)
34,KWAI SHING (CENTRAL)
34M,TSUEN WAN STATION (CIRCULAR)
35A,TSIM SHA TSUI EAST
35A,KWAI CHUNG (ON YAM ESTATE)
35X,TSIM SHA TSUI EAST
35X,KWAI CHUNG (ON YAM ESTATE)
36,LEI MUK SHUE (CIRCULAR)
36,TSUEN WAN WEST STATION
36A,CHEUNG SHA WAN (SHAM MONG ROAD)
36A,LEI MUK SHUE
36B,JORDAN (WEST KOWLOON STATION)
36B,LEI MUK SHUE
36M,KWAI FONG STATION
36M,LEI MUK SHUE
36R,SHEK WAI KOK
36X,TSIM SHA TSUI EAST (MODY ROAD)
36X,LEI MUK SHUE
37,KWAI SHING (CENTRAL)
37,OLYMPIC STATION
37M,KWAI SHING CENTRAL (CIRCULAR)
38,PING TIN
38,KWAI SHING (EAST)
38A,MEI FOO
38A,TSUEN WAN (RIVIERA GARDENS)
38B,SHEK MUN ESTATE
38B,TSUEN WAN (RIVIERA GARDENS)
38P,PING TIN
38P,KWAI SHING (CENTRAL)
38S,TSUEN WAN CHINESE CEMETERY
38S,KWAI FONG STATION
39A,ALLWAY GARDENS (CIRCULAR)
39M,TSUEN WAN STATION (CIRCULAR)
40,LAGUNA CITY
40,LAGUNA CITY
40,TSUEN WAN (BELVEDERE GARDEN)
40A,PING TIN
40A,KWAI HING STATION
40E,KWAI CHUNG (KWAI FONG ESTATE)
40E,NAI CHUNG
40P,KWUN TONG FERRY
40P,TSUEN WAN (NINA TOWER)
40S,KWAI CHUNG (KWAI FONG ESTATE)
40X,KWAI CHUNG ESTATE
40X,KWAI CHUNG ESTATE
40X,WU KAI SHA STATION
41,KOWLOON CITY FERRY
41,TSING YI (CHEUNG CHING ESTATE)
